N,R,P,CI
10,8,20,90
10,8,20,95
10,8,20,99
10,10,20,90
10,10,20,95
10,10,20,99
10,7,20,90
10,7,20,95
10,7,20,99
10,9,20,90
10,9,20,95
10,9,20,99
10,5,20,90
10,5,20,95
10,5,20,99
10,3,20,90
10,3,20,95
10,3,20,99
10,6,20,90
10,6,20,95
10,6,20,99
10,4,20,90
10,4,20,95
10,4,20,99
10,6,50,90
10,6,50,95
10,6,50,99
10,4,50,90
10,4,50,95
10,4,50,99
10,5,50,90
10,5,50,95
10,5,50,99
10,1,50,90
10,1,50,95
10,1,50,99
10,2,50,90
10,2,50,95
10,2,50,99
10,9,50,90
10,9,50,95
10,9,50,99
10,3,50,90
10,3,50,95
10,3,50,99
10,7,50,90
10,7,50,95
10,7,50,99
10,8,50,90
10,8,50,95
10,8,50,99
10,10,50,90
10,10,50,95
10,10,50,99
10,2,80,90
10,2,80,95
10,2,80,99
10,1,80,90
10,1,80,95
10,1,80,99
10,0,80,90
10,0,80,95
10,0,80,99
10,3,80,90
10,3,80,95
10,3,80,99
10,4,80,90
10,4,80,95
10,4,80,99
10,5,80,90
10,5,80,95
10,5,80,99
10,6,80,90
10,6,80,95
10,6,80,99
10,7,80,90
10,7,80,95
10,7,80,99
10,8,80,90
10,8,80,95
10,8,80,99
10,9,80,90
10,9,80,95
10,9,80,99
10,10,80,90
10,10,80,95
10,10,80,99
50,38,20,90
50,38,20,95
50,38,20,99
50,44,20,90
50,44,20,95
50,44,20,99
50,37,20,90
50,37,20,95
50,37,20,99
50,35,20,90
50,35,20,95
50,35,20,99
50,36,20,90
50,36,20,95
50,36,20,99
50,39,20,90
50,39,20,95
50,39,20,99
50,40,20,90
50,40,20,95
50,40,20,99
50,43,20,90
50,43,20,95
50,43,20,99
50,41,20,90
50,41,20,95
50,41,20,99
50,42,20,90
50,42,20,95
50,42,20,99
50,46,20,90
50,46,20,95
50,46,20,99
50,34,20,90
50,34,20,95
50,34,20,99
50,49,20,90
50,49,20,95
50,49,20,99
50,45,20,90
50,45,20,95
50,45,20,99
50,32,20,90
50,32,20,95
50,32,20,99
50,33,20,90
50,33,20,95
50,33,20,99
50,47,20,90
50,47,20,95
50,47,20,99
50,48,20,90
50,48,20,95
50,48,20,99
50,30,20,90
50,30,20,95
50,30,20,99
50,20,50,90
50,20,50,95
50,20,50,99
50,25,50,90
50,25,50,95
50,25,50,99
50,29,50,90
50,29,50,95
50,29,50,99
50,19,50,90
50,19,50,95
50,19,50,99
50,26,50,90
50,26,50,95
50,26,50,99
50,27,50,90
50,27,50,95
50,27,50,99
50,21,50,90
50,21,50,95
50,21,50,99
50,28,50,90
50,28,50,95
50,28,50,99
50,22,50,90
50,22,50,95
50,22,50,99
50,18,50,90
50,18,50,95
50,18,50,99
50,30,50,90
50,30,50,95
50,30,50,99
50,31,50,90
50,31,50,95
50,31,50,99
50,23,50,90
50,23,50,95
50,23,50,99
50,24,50,90
50,24,50,95
50,24,50,99
50,32,50,90
50,32,50,95
50,32,50,99
50,33,50,90
50,33,50,95
50,33,50,99
50,17,50,90
50,17,50,95
50,17,50,99
50,34,50,90
50,34,50,95
50,34,50,99
50,16,50,90
50,16,50,95
50,16,50,99
50,37,50,90
50,37,50,95
50,37,50,99
50,36,50,90
50,36,50,95
50,36,50,99
50,15,50,90
50,15,50,95
50,15,50,99
50,11,80,90
50,11,80,95
50,11,80,99
50,10,80,90
50,10,80,95
50,10,80,99
50,9,80,90
50,9,80,95
50,9,80,99
50,15,80,90
50,15,80,95
50,15,80,99
50,8,80,90
50,8,80,95
50,8,80,99
50,12,80,90
50,12,80,95
50,12,80,99
50,6,80,90
50,6,80,95
50,6,80,99
50,14,80,90
50,14,80,95
50,14,80,99
50,5,80,90
50,5,80,95
50,5,80,99
50,13,80,90
50,13,80,95
50,13,80,99
50,7,80,90
50,7,80,95
50,7,80,99
50,4,80,90
50,4,80,95
50,4,80,99
50,16,80,90
50,16,80,95
50,16,80,99
50,20,80,90
50,20,80,95
50,20,80,99
50,18,80,90
50,18,80,95
50,18,80,99
50,3,80,90
50,3,80,95
50,3,80,99
50,17,80,90
50,17,80,95
50,17,80,99
50,19,80,90
50,19,80,95
50,19,80,99
50,35,50,90
50,35,50,95
50,35,50,99
50,39,50,90
50,39,50,95
50,39,50,99
50,21,80,90
50,21,80,95
50,21,80,99
50,22,80,90
50,22,80,95
50,22,80,99
50,38,50,90
50,38,50,95
50,38,50,99
50,23,80,90
50,23,80,95
50,23,80,99
50,24,80,90
50,24,80,95
50,24,80,99
50,26,80,90
50,26,80,95
50,26,80,99
50,25,80,90
50,25,80,95
50,25,80,99
50,27,80,90
50,27,80,95
50,27,80,99
50,43,50,90
50,43,50,95
50,43,50,99
50,42,50,90
50,42,50,95
50,42,50,99
50,40,50,90
50,40,50,95
50,40,50,99
50,41,50,90
50,41,50,95
50,41,50,99
50,28,80,90
50,28,80,95
50,28,80,99
50,29,80,90
50,29,80,95
50,29,80,99
50,44,50,90
50,44,50,95
50,44,50,99
50,32,80,90
50,32,80,95
50,32,80,99
50,31,80,90
50,31,80,95
50,31,80,99
50,30,80,90
50,30,80,95
50,30,80,99
50,33,80,90
50,33,80,95
50,33,80,99
50,34,80,90
50,34,80,95
50,34,80,99
50,50,20,90
50,50,20,95
50,50,20,99
50,46,50,90
50,46,50,95
50,46,50,99
50,45,50,90
50,45,50,95
50,45,50,99
50,35,80,90
50,35,80,95
50,35,80,99
50,36,80,90
50,36,80,95
50,36,80,99
