N,R,P,CI,EV,LB,UB
10,8,20,90,21.03,0.0,60.39
10,8,20,95,21.03,0.0,64.33
10,8,20,99,21.03,0.0,69.47
10,10,20,90,100.0,100.0,100.0
10,10,20,95,100.0,100.0,100.0
10,10,20,99,100.0,100.0,100.0
10,7,20,90,11.12,0.0,46.31
10,7,20,95,11.12,0.0,49.36
10,7,20,99,11.12,0.0,56.17
10,9,20,90,42.31,0.0,79.32
10,9,20,95,42.31,0.0,81.32
10,9,20,99,42.31,0.0,84.15
10,5,20,90,3.57,0.0,26.89
10,5,20,95,3.57,0.0,29.07
10,5,20,99,3.57,0.0,36.52
10,3,20,90,1.17,0.0,17.07
10,3,20,95,1.17,0.0,19.92
10,3,20,99,1.17,0.0,22.2
10,6,20,90,6.2,0.0,33.89
10,6,20,95,6.2,0.0,39.12
10,6,20,99,6.2,0.0,45.21
10,4,20,90,2.07,0.0,21.72
10,4,20,95,2.07,0.0,23.89
10,4,20,99,2.07,0.0,30.2
10,6,50,90,23.64,0.0,51.67
10,6,50,95,23.64,0.0,54.29
10,6,50,99,23.64,0.0,58.56
10,4,50,90,8.32,0.0,31.79
10,4,50,95,8.32,0.0,34.23
10,4,50,99,8.32,0.0,39.38
10,5,50,90,14.27,0.0,41.21
10,5,50,95,14.27,0.0,43.68
10,5,50,99,14.27,0.0,48.78
10,1,50,90,0.9,0.0,10.0
10,1,50,95,0.9,0.0,10.0
10,1,50,99,0.9,0.0,10.0
10,2,50,90,2.34,0.0,18.4
10,2,50,95,2.34,0.0,19.64
10,2,50,99,2.34,0.0,20.0
10,9,50,90,77.08,65.24,87.64
10,9,50,95,77.08,55.76,88.43
10,9,50,99,77.08,0.0,89.54
10,3,50,90,4.62,0.0,23.93
10,3,50,95,4.62,0.0,27.35
10,3,50,99,4.62,0.0,30.0
10,7,50,90,37.43,0.0,63.2
10,7,50,95,37.43,0.0,65.44
10,7,50,99,37.43,0.0,68.71
10,8,50,90,55.7,34.11,75.33
10,8,50,95,55.7,0.0,76.89
10,8,50,99,55.7,0.0,79.09
10,10,50,90,100.0,100.0,100.0
10,10,50,95,100.0,100.0,100.0
10,10,50,99,100.0,100.0,100.0
10,2,80,90,7.56,0.0,20.0
10,2,80,95,7.56,0.0,20.0
10,2,80,99,7.56,0.0,20.0
10,1,80,90,2.85,0.0,10.0
10,1,80,95,2.85,0.0,10.0
10,1,80,99,2.85,0.0,10.0
10,0,80,90,0.0,0.0,0.0
10,0,80,95,0.0,0.0,0.0
10,0,80,99,0.0,0.0,0.0
10,3,80,90,14.74,0.0,30.0
10,3,80,95,14.74,0.0,30.0
10,3,80,99,14.74,0.0,30.0
10,4,80,90,24.47,0.0,40.0
10,4,80,95,24.47,0.0,40.0
10,4,80,99,24.47,0.0,40.0
10,5,80,90,36.07,19.81,50.0
10,5,80,95,36.07,0.0,50.0
10,5,80,99,36.07,0.0,50.0
10,6,80,90,48.58,35.28,60.0
10,6,80,95,48.58,29.82,60.0
10,6,80,99,48.58,0.0,60.0
10,0,50,90,0.0,0.0,0.0
10,0,50,95,0.0,0.0,0.0
10,0,50,99,0.0,0.0,0.0
10,7,80,90,61.39,51.4,70.0
10,7,80,95,61.39,47.07,70.0
10,7,80,99,61.39,36.48,70.0
10,8,80,90,74.25,67.59,80.0
10,8,80,95,74.25,64.7,80.0
10,8,80,99,74.25,57.52,80.0
10,9,80,90,87.12,83.79,90.0
10,9,80,95,87.12,82.35,90.0
10,9,80,99,87.12,78.75,90.0
10,10,80,90,100.0,100.0,100.0
10,10,80,95,100.0,100.0,100.0
10,10,80,99,100.0,100.0,100.0
50,44,20,90,37.74,0.0,61.09
50,44,20,95,37.74,0.0,63.44
50,44,20,99,37.74,0.0,67.36
50,35,20,90,5.25,0.0,20.43
50,35,20,95,5.25,0.0,23.53
50,35,20,99,5.25,0.0,28.82
50,43,20,90,30.08,0.0,54.88
50,43,20,95,30.08,0.0,57.56
50,43,20,99,30.08,0.0,62.08
50,37,20,90,7.75,0.0,26.19
50,37,20,95,7.75,0.0,29.4
50,37,20,99,7.75,0.0,35.01
50,39,20,90,11.87,0.0,33.71
50,39,20,95,11.87,0.0,37.06
50,39,20,99,11.87,0.0,42.89
50,42,20,90,23.79,0.0,48.92
50,42,20,95,23.79,0.0,51.89
50,42,20,99,23.79,0.0,56.93
50,41,20,90,18.78,0.0,43.26
50,41,20,95,18.78,0.0,46.47
50,41,20,99,18.78,0.0,51.96
50,40,20,90,14.88,0.0,38.17
50,40,20,95,14.88,0.0,41.39
50,40,20,99,14.88,0.0,47.15
50,38,20,90,9.54,0.0,29.4
50,38,20,95,9.54,0.0,32.86
50,38,20,99,9.54,0.0,38.97
50,45,20,90,46.67,20.86,67.47
50,45,20,95,46.67,0.0,69.45
50,45,20,99,46.67,0.0,72.74
50,47,20,90,67.15,50.41,80.45
50,47,20,95,67.15,42.62,81.64
50,47,20,99,67.15,25.72,83.62
50,36,20,90,6.35,0.0,23.02
50,36,20,95,6.35,0.0,26.03
50,36,20,99,6.35,0.0,32.06
50,34,20,90,4.38,0.0,18.37
50,34,20,95,4.38,0.0,21.01
50,34,20,99,4.38,0.0,26.45
50,33,20,90,3.68,0.0,16.39
50,33,20,95,3.68,0.0,18.78
50,33,20,99,3.68,0.0,24.12
50,46,20,90,56.59,34.59,73.94
50,46,20,95,56.59,25.42,75.53
50,46,20,99,56.59,0.0,78.17
50,32,20,90,3.12,0.0,14.42
50,32,20,95,3.12,0.0,17.21
50,32,20,99,3.12,0.0,21.68
50,48,20,90,78.01,66.85,86.96
50,48,20,95,78.01,61.51,87.76
50,48,20,99,78.01,48.22,89.08
50,25,50,90,8.61,0.0,22.56
50,25,50,95,8.61,0.0,24.88
50,25,50,99,8.61,0.0,29.08
50,26,50,90,10.27,0.0,24.93
50,26,50,95,10.27,0.0,27.24
50,26,50,99,10.27,0.0,31.41
50,24,50,90,7.22,0.0,20.32
50,24,50,95,7.22,0.0,22.62
50,24,50,99,7.22,0.0,26.82
50,30,50,90,20.21,5.13,36.41
50,30,50,95,20.21,0.0,38.55
50,30,50,99,20.21,0.0,42.31
50,22,50,90,5.11,0.0,16.41
50,22,50,95,5.11,0.0,18.54
